color
Black
BlueViolet
Brown
CadetBlue
Chocolate
Coral
Crimson
DarkCyan
DarkGray
DarkGreen
DarkKhaki
DarkMagenta
DarkOrchid
DarkRed
DarkSalmon
DarkViolet
DeepPink
DimGray
DodgerBlue
ForestGreen
Gold
Goldenrod
Gray
Green
HotPink
IndianRed
Indigo
LimeGreen
Magenta
Maroon
MediumBlue
Navy
Olive
OliveDrab
Orange
OrangeRed
OrangeRed
Orchid
Peru
Purple
Red
RosyBrown
RoyalBlue
SaddleBrown
Salmon
SandyBrown
SeaGreen
Sienna
SkyBlue
SlateBlue
SlateGray
SteelBlue
Tan
Teal
Tomato
Turquoise
Violet
